Name,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
mnh01,NA,mnh01_00022,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.24,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh01,NA,mnh01_01134,1,3150,+,oqxB,multidrug efflux RND transporter permease subunit OqxB,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,1050,1050,100,99.9,1050,WP_012967412.1,multidrug efflux RND transporter permease subunit OqxB9,NA,NA
mnh01,NA,mnh01_01135,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,391,391,100,98.98,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh01,NA,mnh01_02671,1,858,+,blaLEN-2,class A beta-lactamase LEN-2,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_023340103.1,class A beta-lactamase LEN-2,NA,NA
mnh01,NA,mnh01_03557,1,1227,+,kdeA,multidrug efflux MFS transporter KdeA,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,409,410,99.76,99.27,409,ABR76310.1,multidrug efflux MFS transporter KdeA,NA,NA
mnh01,NA,mnh01_04604,1,411,+,fosA,FosA5 family fosfomycin resistance glutathione transferase,core,AMR,AMR,FOSFOMYCIN,FOSFOMYCIN,BLASTX,137,139,98.56,99.27,137,WP_114473955.1,fosfomycin resistance glutathione transferase FosA9,NA,NA
mnh01,NA,mnh01_05154,1,900,+,fieF,CDF family cation-efflux transporter FieF,plus,STRESS,METAL,NA,NA,BLASTX,300,300,100,99.67,300,BAB89353.1,CDF family cation-efflux transporter FieF,NA,NA
mnh10,NA,mnh10_00028,1,1182,+,emrD,multidrug efflux MFS transporter EmrD,plus,AMR,AMR,EFFLUX,EFFLUX,BLASTX,394,394,100,99.24,394,ACN65732.1,multidrug efflux MFS transporter EmrD,NA,NA
mnh10,NA,mnh10_01195,1,3150,+,oqxB,multidrug efflux RND transporter permease subunit OqxB,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,BLASTX,1050,1050,100,99.9,1050,WP_021312368.1,multidrug efflux RND transporter permease subunit OqxB20,NA,NA
mnh10,NA,mnh10_01196,1,1173,+,oqxA,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,core,AMR,AMR,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,EXACTX,391,391,100,100,391,WP_002914189.1,multidrug efflux RND transporter periplasmic adaptor subunit OqxA,NA,NA
mnh10,NA,mnh10_01812,1,1710,+,ybtP,yersiniabactin ABC transporter ATP-binding/permease protein YbtP,plus,VIRULENCE,VIRULENCE,NA,NA,BLASTX,570,600,95,99.82,570,CAA21388.1,yersiniabactin ABC transporter ATP-binding/permease protein YbtP,NA,NA
